Nom;Prénom;Âge;Taille;Poids;Nationalité;Poste;Club;Contrat;Statut JIFF
LEBRUN;Brendan;22;181;110;France;Talonneur;La Rochelle;Espoir;JIFF
DESSAIGNE;Lucas;21;188;96;France;3ème ligne;Clermont;Espoir;JIFF
GAUBAN;Louis;21;186;86;France;Ailier;Agen;Espoir;JIFF
CLERC;Dorian;21;194;110;France;3ème ligne;Castres;Espoir;JIFF
TAOFIFENUA;Donovan;20;179;84;France;Arrière;Clermont;Espoir;JIFF
AZARIASHVILI;Luka;20;186;118;Géorgie;Pilier;Montpellier;Espoir;JIFF
CRAMONT;Guillaume;19;183;100;France;Talonneur;Toulouse;Espoir;JIFF
TIREFORT;Valentin;21;0;0;France;Ailier;La Rochelle;Espoir;JIFF
IDJELLIDAINE;Théo;18;168;71;France;Mêlée;Toulouse;Espoir;JIFF
KOK;Werner;27;177;78;Afrique du sud;Ailier;Toulouse;Pro;NON JIFF
LE CORVEC;Mattéo;19;192;113;France;3ème ligne;Toulon;Espoir;JIFF
BEAUDON;William;20;0;0;France;Mêlée;Toulon;Espoir;JIFF
DE BENEDITTIS;Wayan;20;185;107;France;Pilier;Castres;Espoir;JIFF
AHOLELEI;Duane;30;189;130;Tonga;Pilier;Clermont;Pro;NON JIFF
DECAUX;Alexis;19;0;0;France;Pilier;Castres;Espoir;JIFF
KOROI;Joketani;24;198;115;Fidji;3ème ligne;Paris;Pro;NON JIFF
TAGI;Luke;22;187;130;Fidji;Pilier;Paris;Pro;NON JIFF
JORDAAN;Jeremy;29;198;127;Afrique du sud;2ème ligne;Agen;Pro;NON JIFF
TCHITCHIASHVILI;Aleksi;18;178;117;Géorgie;Pilier;Montpellier;Espoir;PAS ENCORE JIFF
